Lalapan Ciprut	15000	4.4	1
Ayam Bawang Cak Per	12000	3.6	4.1
Ocean Garden	25500	2.8	4
Lalapan Katanya Enak	12000	2.9	4.7
KPK Resto	11000	3.5	4.2
Ayam Gober	11000	1.6	3.3
Saluyu	14000	2.1	4
Ayam Goreng J&J	12500	3	4.3
Mentari Pagi	14000	1.9	4.4
Ayam Gepuk Ny Linda	11000	3.5	4.5
Ayam Goreng Tenes	17000	3.9	4.3
Warung Pudji Mulyo	18000	1.7	4.3
Waroeng Kecik	10000	3.5	4.5
Lesehan Bambu	20000	0.9	4
Waroeng Batok	23000	0.65	2
Kedai Si Mbok	27000	1.8	4.5
Geprek Kak Rose	10000	0.27	3.2
Warung Rokhis	17500	2	4
Ayam Uleg Cak Abit	10000	1.1	4.5
Ayam Goreng Nelongso	15000	1.1	4
Lalapan Pak Brenk	10500	2.9	3.7
Warung Areza	14000	4.9	5
KL Express	28000	4.8	4.4
Ayam Geprek Bensu	19000	1.9	3.8
Ayam Jotoss ChuNup	13000	2.8	5
Ayam Goreng Pemuda	13000	3.4	4.3
Doan Restaurant	55000	5.2	4.2
Ayam BFC	12000	4.1	4
Ayam Goreng Sriwijaya	17000	7.4	4.3
Sathai Street Food	12000	1.3	4.7
